Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Expense type
DSLIP,10/27/2017,DEPOSIT  ID NUMBER 464511,10000,DEPOSIT,7218.9,,Deposit
,10/27/2017,,10000,,7218.9,Deposit Total,10000
DEBIT,10/27/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/25,-141.77,DEBIT_CARD,6852.72,,Material
DEBIT,10/27/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/24,-69.19,DEBIT_CARD,6994.49,,Material
DEBIT,10/27/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/23,-155.22,DEBIT_CARD,7063.68,,Material
,6/22/2253,,-366.18,,20910.89,Material Total,-366.18
DEBIT,10/27/2017,ADP PAYROLL FEES ADP - FEES 2RKKR   4928013 CCD ID: 9659605001,-30.68,ACH_DEBIT,6423.52,,Payroll fees
DEBIT,10/27/2017,ADP PAYROLL FEES ADP - FEES 789084865883347 CCD ID: 9659605001,-40,ACH_DEBIT,6454.2,,Payroll fees
,8/25/2135,,-70.68,,12877.72,Payroll fees Total,-70.68
DEBIT,10/27/2017,MICHAELS STORES INC502 EATONTOWN NJ  103405  10/27,-3.3,DEBIT_CARD,6594.2,,Personal
,10/27/2017,,-3.3,,6594.2,Personal Total,-3.3
DEBIT,10/27/2017,ATM WITHDRAWAL                       004881  10/27160 BRIGH,-100,ATM,6494.2,,Withdraws
DEBIT,10/27/2017,ATM WITHDRAWAL                       008154  10/272 PENN PL,-100,ATM,6597.5,,Withdraws
,8/25/2135,,-200,,13091.7,Withdraws Total,-200
DEBIT,10/30/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/28,-77.61,DEBIT_CARD,5630.92,,Auto Rental
DEBIT,10/30/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/28,-77.61,DEBIT_CARD,5708.53,,Auto Rental
,8/31/2135,,-155.22,,11339.45,Auto Rental Total,-155.22
CHECK,10/30/2017,CHECK 1555  ,-1000,CHECK_PAID,2228.96,1555,Gas
,10/30/2017,,-1000,,2228.96,Gas Total,-1000
DEBIT,10/30/2017,THE HOME DEPOT 0910 SECAUCUS NJ      399658  10/30,-32,DEBIT_CARD,3673.72,,Material
DEBIT,10/30/2017,THE HOME DEPOT 0910 SECAUCUS NJ      191055  10/30,-25.32,DEBIT_CARD,3705.72,,Material
DEBIT,10/30/2017,HOBOKEN FLOORS LLC LONG BRANCH NJ    340289  10/30,-174.22,DEBIT_CARD,3731.04,,Material
DEBIT,10/30/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/28,-95.15,DEBIT_CARD,5786.14,,Material
DEBIT,10/30/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/28,-175.91,DEBIT_CARD,5881.29,,Material
,3/1/2489,,-502.6,,22777.91,Material Total,-502.6
DEBIT,10/30/2017,MCDONALD'S F6713 LONG BRANCH NJ              10/28,-34.08,DEBIT_CARD,4152.56,,Meals & Entertain
DEBIT,10/30/2017,A AND H DELI NEW YORK NY                     10/28,-16.46,DEBIT_CARD,4288.42,,Meals & Entertain
DEBIT,10/30/2017,DOMINO'S 4974 731-776-8887 NJ                10/27,-28.87,DEBIT_CARD,6356.2,,Meals & Entertain
,7/1/2253,,-79.41,,14797.18,Meals & Entertain Total,-79.41
DEBIT,10/30/2017,J2 *METROFAX 888-929-4141 CA                 10/30,-7.95,DEBIT_CARD,2128.79,,Office Expense
DEBIT,10/30/2017,AMZ_STORECRD_PMT PAYMENT                    PPD ID: 9069872000,-92.22,ACH_DEBIT,2136.74,,Office Expense
,8/31/2135,,-100.17,,4265.53,Office Expense Total,-100.17
CHECK,10/30/2017,CHECK 1553  10/30,-1000,CHECK_PAID,4304.88,1553,Payroll
,10/30/2017,,-1000,,4304.88,Payroll Total,-1000
DEBIT,10/30/2017,FINE FARE LONG BRANCH NJ             854338  10/30,-104.76,DEBIT_CARD,3228.96,,Personal
DEBIT,10/30/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ797794  10/29,-24.37,DEBIT_CARD,4105.26,,Personal
DEBIT,10/30/2017,COURT LIQUORS LONG BRANCH NJ                 10/28,-22.93,DEBIT_CARD,4129.63,,Personal
DEBIT,10/30/2017,SPIRIT HALLOWEEN 60080 ENGLISHTOWN NJ        10/28,-36.31,DEBIT_CARD,4186.64,,Personal
DEBIT,10/30/2017,KANSAI BARBE SHOP LLC LONG BRANCH NJ         10/29,-49.22,DEBIT_CARD,4222.95,,Personal
DEBIT,10/30/2017,FINE FARE LONG BRANCH NJ             201773  10/28,-126.04,DEBIT_CARD,5504.88,,Personal
DEBIT,10/30/2017,THE SELLING FAMILY 2099690703 CA             10/27,-99,DEBIT_CARD,6257.2,,Personal
DEBIT,10/30/2017,SPIRIT HALLOWEEN 6097 609-798-0949 NJ        10/27,-38.45,DEBIT_CARD,6385.07,,Personal
,9/1/2842,,-501.08,,38020.59,Personal Total,-501.08
DEBIT,10/30/2017,Online Transfer to CHK ...1290 transaction#: 6624078211 10/30,-200,ACCT_XFER,6057.2,,Transfers
,10/30/2017,,-200,,6057.2,Transfers Total,-200
DEBIT,10/30/2017,NJT NY PENN STA   0112 NEW YORK NY           10/28,-16.25,DEBIT_CARD,4272.17,,Transportation
,10/30/2017,,-16.25,,4272.17,Transportation Total,-16.25
DEBIT,10/30/2017,ATM WITHDRAWAL                       005883  10/30160 BRIGH,-340,ATM,3333.72,,Withdraws
DEBIT,10/30/2017,ATM WITHDRAWAL                       005616  10/29160 BRIGH,-200,ATM,3905.26,,Withdraws
DEBIT,10/30/2017,ATM WITHDRAWAL                       001466  10/282 PENN PL,-200,ATM,5304.88,,Withdraws
,7/1/2253,,-740,,12543.86,Withdraws Total,-740
DEBIT,10/31/2017,JIFFY LUBE #1268 FARMINGDALE NY      953766  10/31,-68.4,DEBIT_CARD,1940.28,,Auto Other
,10/31/2017,,-68.4,,1940.28,Auto Other Total,-68.4
DEBIT,10/31/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/30,-77.61,DEBIT_CARD,2051.18,,Auto Rental
,10/31/2017,,-77.61,,2051.18,Auto Rental Total,-77.61
CHECK,10/31/2017,CHECK 1554  ,-1390,CHECK_PAID,550.28,1554,Gas
,10/31/2017,,-1390,,550.28,Gas Total,-1390
DEBIT,10/31/2017,SIX FLAGS GREAT ADVEN 732-928-2000 NJ        10/30,-17.65,DEBIT_CARD,532.63,,Personal
,10/31/2017,,-17.65,,532.63,Personal Total,-17.65
DEBIT,10/31/2017,NJT NY PENN STA   0107 NEW YORK NY           10/30,-16.25,DEBIT_CARD,2008.68,,Transportation
DEBIT,10/31/2017,MTA MVM*N309A-QUEENS PL NEW YORK NY          10/30,-26.25,DEBIT_CARD,2024.93,,Transportation
,9/2/2135,,-42.5,,4033.61,Transportation Total,-42.5
,,,,,,,
,,,,,,,
,,,,,,,
,8389928,,-7385.36,,930444.72,Grand Total,-7385.36
