Details,Posting Date,Description,Amount,Type,Balance,
DEBIT,11/30/2017,INSUFFICIENT FUNDS FEE FOR A $259.95 CARD PURCHASE - DETAILS:       1129ORC*Credit One 877-8253242 NV        04563310022408425                                                                                           01,-$34.00,FEE_TRANSACTION,-1187.65,Bank fee
DEBIT,11/30/2017,INSUFFICIENT FUNDS FEE FOR A $309.95 CARD PURCHASE - DETAILS:       1129ORC*Credit One 877-8253242 NV        04563310022408425                                                                                           01,-$34.00,FEE_TRANSACTION,-1153.65,Bank fee
,,,-$170.00,,,
DEBIT,11/30/2017,J2 *METROFAX 888-929-4141 CA                 11/30,-$7.95,DEBIT_CARD,-1119.65,office expense
,,,,,,
DEBIT,11/30/2017,MODELL'S #157 EATONTOWN NJ           406202  11/30,-$161.74,DEBIT_CARD,-1111.7,personal
,,,,,,
DEBIT,11/30/2017,CHILI'S EATONTOWN EATONTOWN NJ               11/29,-$50.82,DEBIT_CARD,-949.96,meals and entretaiment
,,,,,,
DEBIT,11/30/2017,ORC*Credit One 877-8253242 NV                11/29,-$259.95,DEBIT_CARD,-899.14,
DEBIT,11/30/2017,ORC*Credit One 877-8253242 NV                11/29,-$309.95,DEBIT_CARD,-639.19,
